term_id,term_name,genes_associated_in_db
C0012734,Disruptive Behavior Disorder,2
C0013238,Dry Eye Syndromes,2
C0013362,Dysarthria,2
C0013423,Dystonia Musculorum Deformans,2
C0013581,Ectopia Lentis,2
C0013949,Embryopathies,2
C0014067,Occipital Encephalocele,2
C0014356,Enterocolitis,2
C0014799,"Erythroderma, Maculopapular",2
C0014804,Erythromelalgia,2
C0015530,Hereditary Factor XIII Deficiency,2
C0015951,Fetal Resorption,2
C0016037,Fibrodysplasia Ossificans Progressiva,2
C0016045,fibroma,2
C0016048,Fibromatosis,2
C0016063,Osteitis Fibrosa Disseminata,2
C0017152,Gastritis,2
C0017551,Gilbert Disease (disorder),2
C0017920,Glycogen Storage Disease Type I,2
C0017921,Glycogen storage disease type II,2
C0017922,Glycogen Storage Disease Type III,2
C0017924,Glycogen Storage Disease Type V,2
C0018036,"Hypertension, Goldblatt",2
C0018552,Hamartoma,2
C0018922,hemangiopericytoma,2
C0019050,"Hemoglobinuria, Paroxysmal",2
C0019069,Hemophilia A,2
C0019154,Hepatic Vein Thrombosis,2
C0019156,Hepatic Veno-Occlusive Disease,2
C0019212,Hepatorenal Syndrome,2
C0019562,Von Hippel-Lindau Syndrome,2
C0020217,Hydatidiform Mole,2
C0020479,Hyperlipoproteinemia Type III,2
C0020480,Hyperlipoproteinemia Type IV,2
C0020555,Hypertrichosis,2
C0020626,Hypoparathyroidism,2
C0020630,Hypophosphatasia,2
C0020725,Type II Mucolipidosis,2
C0020877,Ileitis,2
C0021847,Intestinal Pseudo-Obstruction,2
C0022387,Jervell-Lange Nielsen Syndrome,2
C0022596,Palmoplantar Keratosis,2
C0022603,Seborrheic keratosis,2
C0022716,Menkes Kinky Hair Syndrome,2
C0022783,Vulvar Lichen Sclerosus,2
C0022972,Lambert-Eaton Myasthenic Syndrome,2
C0023055,Laryngeal neoplasm,2
C0023241,Legionnaires' Disease,2
C0023437,Acute Basophilic Leukemia,2
C0023443,Hairy Cell Leukemia,2
C0023522,"Leukodystrophy, Metachromatic",2
C0023532,"Leukoplakia, Oral",2
C0023645,Lichen planus follicularis,2
C0023806,Lipomucopolysaccharidosis,2
C0023817,Hyperlipoproteinemia Type I,2
C0023860,Listeriosis,2
C0024131,Lupus Vulgaris,2
C0024236,Lymphedema,2
C0024439,Macular corneal dystrophy,2
C0024440,"Macular Edema, Cystoid",2
C0024591,Malignant hyperpyrexia due to anesthesia,2
C0024748,alpha-Mannosidosis,2
C0024814,Marinesco-Sjogren syndrome,2
C0024899,Mastocytosis,2
C0025164,Megaesophagus,2
C0025290,Aseptic Meningitis,2
C0025472,Mesenteric Vascular Occlusion,2
C0026363,Mohr Syndrome,2
C0026697,Mucolipidoses,2
C0026707,Mucopolysaccharidosis IV,2
C0026851,"Muscular Dystrophy, Animal",2
C0026985,Myelodysplasia,2
C0027127,Myotonia Congenita,2
C0027430,Nasal Polyps,2
C0027706,Hereditary nephritis,2
C0027830,neurofibroma,2
C0027960,Nevus,2
C0028077,Nyctalopia,2
C0029121,Oppositional Defiant Disorder,2
C0029134,Optic Neuritis,2
C0029411,"Osteoarthropathy, Primary Hypertrophic",2
C0029464,Osteosclerosis,2
C0029944,Drug Overdose,2
C0030437,Parakeratosis Variegata,2
C0030491,Parapsoriasis,2
C0030809,Pemphigus Vulgaris,2
C0031039,Pericardial effusion,2
C0031190,Persistent Fetal Circulation Syndrome,2
C0031192,Persistent Ostium Primum,2
C0031269,Peutz-Jeghers Syndrome,2
C0031900,Pierre Robin Syndrome,2
C0033788,Pseudo-Hurler Polydystrophy,2
C0033999,Pterygium,2
C0034091,Pulmonary Veno-Occlusive Disease (disorder),2
C0034152,Henoch-Schoenlein Purpura,2
C0034219,Alveolar pyorrhea,2
C0034372,Quadriplegia,2
C0034960,Refsum Disease,2
C0035333,Retinitis,2
C0035934,Rubinstein-Taybi Syndrome,2
C0037198,"Sinus Thrombosis, Intracranial",2
C0037315,Sleep Apnea Syndromes,2
C0037917,Spina Bifida Cystica,2
C0038505,Sturge-Weber Syndrome,2
C0039239,Sinus Tachycardia,2
C0039373,Tay-Sachs Disease,2
C0040015,Thrombasthenia,2
C0040156,Thyrotoxicosis,2
C0040188,Tic disorder,2
C0040702,Transient Tic Disorder,2
C0040761,Transposition of Great Vessels,2
C0040953,Trichotillomania,2
C0040954,Infection by Trichuris trichiura,2
C0042237,Malignant Vaginal Neoplasm,2
C0042781,Visceral Myopathy,2
C0042870,Vitamin D Deficiency,2
C0043049,Water Intoxication,2
C0043194,Wiskott-Aldrich Syndrome,2
C0043207,Wolfram Syndrome,2
C0043325,Xanthomatosis,2
C0078921,"Albinism, Tyrosinase-Negative",2
C0078922,"Albinism, Tyrosinase-Positive",2
C0079136,Cockayne-Touraine Disease,2
C0079294,Epidermolysis Bullosa Dystrophica,2
C0079474,Hallopeau-Siemens Disease,2
C0079661,Klein's Syndrome,2
C0080024,Piebaldism,2
C0085090,"Lymphoma, AIDS-Related",2
C0085109,Corneal Neovascularization,2
C0085179,Eosinophilia-Myalgia Syndrome,2
C0085220,Cerebral Amyloid Angiopathy,2
C0085261,Proteus Syndrome,2
C0085269,"Plasma Cell Granuloma, Pulmonary",2
C0085278,Antiphospholipid Syndrome,2
C0085280,Alagille Syndrome,2
C0085633,Mood swings,2
C0086533,"Leiomyoma, Epithelioid",2
C0086626,Minamata Disease,2
C0086651,"Mucopolysaccharidosis, MPS-IV-A",2
C0086652,Mucopolysaccharidosis type IVB,2
C0086774,Cold paroxysmal hemoglobinuria,2
C0149649,Cholesterol Embolism,2
C0149745,Oral Ulcer,2
C0149821,ACUTE ALCOHOL WITHDRAWAL,2
C0149910,Intermittent joint effusion,2
C0152113,Rheumatic Chorea,2
C0153405,Malignant neoplasm of pharynx,2
C0153504,Malignant tumor of mediastinum,2
C0154874,Neuroretinitis,2
C0158551,Embryonal nuclear cataract (disorder),2
C0158761,Radioulnar Synostosis,2
C0162292,External Ophthalmoplegia,2
C0162296,Polyarthralgia,2
C0162442,Parapsoriasis en Plaques,2
C0162530,"Porphyria, Erythropoietic",2
C0162532,Variegate Porphyria,2
C0162539,IgG Deficiency disorder,2
C0162770,Right Ventricular Hypertrophy,2
C0175691,Dubowitz syndrome,2
C0175697,Van der Woude syndrome,2
C0175778,Larsen syndrome,2
C0205710,Alpers Syndrome (disorder),2
C0205711,Pelizaeus-Merzbacher Disease,2
C0205766,Myxofibroma,2
C0205822,Hibernoma,2
C0205823,Pleomorphic Lipoma,2
C0205854,Glandular Neoplasms,2
C0206019,HIV Encephalopathy,2
C0206061,"Pneumonia, Interstitial",2
C0206141,Idiopathic Hypereosinophilic Syndrome,2
C0206142,Eosinophilic leukemia,2
C0206143,Loeffler's Endocarditis,2
C0206182,Lymphomatoid Papulosis,2
C0206634,"Liposarcoma, Myxoid",2
C0206644,"Histiocytoma, Benign Fibrous",2
C0206648,Myofibromatosis,2
C0206650,Fibroadenoma,2
C0206657,Alveolar Soft Part Sarcoma,2
C0206677,Adenomatous Polyps,2
C0206681,"Adenocarcinoma, Clear Cell",2
C0206687,"Carcinoma, Endometrioid",2
C0206693,Medullary carcinoma,2
C0206704,"Carcinoma, Large Cell",2
C0206708,Cervical Intraepithelial Neoplasia,2
C0206724,Sex Cord-Stromal Tumor,2
C0206734,Hemangioblastoma,2
C0206743,Rhabdoid Tumor,2
C0220659,Acrodysostosis,2
C0220702,SCHIZOPHRENIA 1 (disorder),2
C0220708,VATER Association,2
C0220744,Multiple gastrointestinal atresias (disorder),2
C0220756,"Niemann-Pick Disease, Type C",2
C0220767,Craniofrontonasal dysplasia,2
C0220991,Rotor Syndrome,2
C0221013,"Mastocytosis, Systemic",2
C0221060,Mobius Syndrome,2
C0234469,"Aphasia, Global",2
C0234526,Ideational Apraxia,2
C0235752,Port-Wine Stain,2
C0235753,Congenital hemangioma,2
C0236642,Pick Disease of the Brain,2
C0238056,"Chorea, Senile",2
C0241397,Triphalangeal thumb,2
C0241832,Cerebrovascular Insufficiency,2
C0242426,Chylopericardium,2
C0242528,Azotemia,2
C0242852,Proliferative vitreoretinopathy,2
C0243038,"Carcinoma, Lewis Lung",2
C0265218,Neu-Laxova syndrome,2
C0265224,Freeman-Sheldon syndrome,2
C0265227,Schinzel-Giedion syndrome,2
C0265239,Wildervanck's syndrome,2
C0265242,Otocephaly,2
C0265246,Townes syndrome,2
C0265251,Oto-Palato-digital syndrome type 1,2
C0265264,Holt-Oram syndrome,2
C0265282,Fibrochondrogenesis,2
C0265291,Kenny-Caffey syndrome,2
C0265292,Schwartz-Lelek syndrome,2
C0265293,Frontometaphyseal dysplasia,2
C0265301,Sclerosteosis,2
C0265312,Brachydactyly syndrome type E,2
C0265326,Bannayan-Riley-Ruvalcaba Syndrome,2
C0265336,Senter syndrome,2
C0265354,CHARGE Syndrome,2
C0265581,Longitudinal deficiency of radius,2
C0265962,Ichthyosis linearis circumflexa,2
C0265998,ANONYCHIA,2
C0266122,Cleft uvula,2
C0266464,Polymicrogyria,2
C0266525,Irido-corneal dysgenesis,2
C0266526,Norrie disease,2
C0266568,Persistent Hyperplastic Primary Vitreous,2
C0266573,Congenital ptosis,2
C0267963,Exocrine pancreatic insufficiency,2
C0268117,"Gout, HPRT-Related",2
C0268119,Combined molybdoflavoprotein enzyme deficiency,2
C0268123,Muscle AMP deaminase deficiency,2
C0268146,Glucose-6-phosphate transport defect,2
C0268164,"Primary hyperoxaluria, type I",2
C0268193,NADH cytochrome B5 reductase deficiency,2
C0268194,Phosphoenolpyruvate carboxykinase deficiency,2
C0268226,Type I Mucolipidosis,2
C0268247,"Niemann-Pick Disease, Type D",2
C0268255,Farber Lipogranulomatosis,2
C0268285,"Adrenal hyperplasia, congenital, type 5",2
C0268335,Ehlers-Danlos syndrome type 1,2
C0268336,Ehlers-Danlos syndrome type 2,2
C0268338,"Ehlers-Danlos Syndrome, Type IV",2
C0268342,Ehlers-Danlos syndrome type 6,2
C0268344,Ehlers-Danlos syndrome 6B,2
C0268345,"EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE",2
C0268347,"Ehlers-Danlos Syndrome, Type VIII",2
C0268351,"Cutis Laxa, Autosomal Recessive, Type I",2
C0268397,"Amyloidosis, Primary Cutaneous",2
C0268398,Familial lichen amyloidosis,2
C0268414,Hyperphosphatasemia with bone disease,2
C0268435,"Renal Tubular Acidosis, Type II",2
C0268448,Primary hypomagnesemia (disorder),2
C0268450,Gitelman Syndrome,2
C0268465,Phenylketonuria II,2
C0268495,Oculocutaneous albinism type 2,2
C0268600,3-methylcrotonyl CoA carboxylase 1 deficiency,2
C0268631,succinic semialdehyde dehydrogenase deficiency,2
C0268689,"Vitamin D-dependent rickets, type 1",2
C0270496,"Schizoaffective disorder, bipolar type",2
C0270816,epilepsy and migraine,2
C0270855,Early myoclonic encephalopathy,2
C0270922,Peripheral demyelinating neuropathy,2
C0270959,Myotonia Levior,2
C0271051,Macular retinal edema,2
C0271178,Irvine-Gass Syndrome,2
C0271561,Somatotropin deficiency,2
C0272087,Congenital Methemoglobinemia,2
C0272126,Evans syndrome,2
C0272203,Indolent Systemic Mastocytosis,2
C0272302,Gray Platelet Syndrome,2
C0274576,Poisoning by fluorouracil,2
C0274859,Inorganic Mercury Poisoning,2
C0274860,"Mercury Poisoning, Organic",2
C0278875,Adult Craniopharyngioma,2
C0278878,Adult Glioblastoma,2
C0279606,Childhood Hepatocellular Carcinoma,2
C0281508,Desmoplastic Small Round Cell Tumor,2
C0282513,Primary Progressive Aphasia (disorder),2
C0282526,Hyperpipecolic Acidemia,2
C0300948,Caudal Regression Syndrome,2
C0302319,"Porokeratosis, Linear",2
C0302356,"incomplete anencephaly, hemicrania",2
C0302859,Euthyroid Goiter,2
C0302892,Congenital porencephaly,2
C0333463,Senile Plaques,2
C0334287,Fibrolamellar Hepatocellular Carcinoma,2
C0334401,Malignant Granulosa Cell Tumor,2
C0334529,"Hydatidiform Mole, Partial",2
C0334660,Angioendotheliomatosis,2
C0338078,Non-Functioning Pituitary Gland Neoplasm,2
C0338457,"Aphasia, Progressive",2
C0338468,"Tic Disorders, Vocal",2
C0338502,Hypoplasia of the optic nerve,2
C0338582,Sporadic Cerebral Amyloid Angiopathy,2
C0338908,Mixed anxiety and depressive disorder,2
C0339143,Thyroid associated opthalmopathies,2
C0339277,"Corneal Dystrophy, Juvenile Epithelial of Meesmann",2
C0339537,Cone monochromatism,2
C0340803,Capillary malformation (disorder),2
C0341306,Microvillus inclusion disease,2
C0342185,"Hyperthyroxinemia, Familial Dysalbuminemic",2
C0342474,Lipoid congenital adrenal hyperplasia,2
C0342637,"Hypocalciuric hypercalcemia, familial, type 1",2
C0342643,Autosomal recessive hypophosphatemic vitamin D refractory rickets,2
C0342731,Deficiency of mevalonate kinase,2
C0342751,Generalized glycogen storage disease of infants,2
C0342788,Renal carnitine transport defect,2
C0342793,Malonic aciduria,2
C0342853,Sialuria,2
C0342883,Cholesteryl Ester Transfer Protein Deficiency,2
C0342907,Sitosterolemia,2
C0343055,Generalized pustular psoriasis,2
C0343528,Pontiac Fever,2
C0345050,Congenital aneurysm of ascending aorta,2
C0345354,Radial polydactyly,2
C0345408,Hereditary clubbing,2
C0346167,Undifferentiated carcinoma of ovary,2
C0346421,Chronic eosinophilic leukemia,2
C0348374,Malignant Central Nervous System Neoplasm,2
C0349217,"Depressive episode, unspecified",2
C0349218,Recurrent depressive disorder,2
C0349231,Phobic anxiety disorder,2
C0349391,"Apraxia, Verbal",2
C0349566,Squamous cell carcinoma of tongue,2
C0376323,Congestive Ophthalmopathy,2
C0391826,Lhermitte-Duclos disease,2
C0392439,Acrodermatitis continua of Hallopeau,2
C0392622,Toxic effect of carbon tetrachloride,2
C0392784,Dermatofibrosarcoma Protuberans,2
C0393576,Chorea Acanthocytosis Syndrome,2
C0393778,Congenital anosmia,2
C0393807,Hereditary motor and sensory neuropathy with optic atrophy (disorder),2
C0393929,Familial infantile myasthenia,2
C0398593,Specific granule deficiency,2
C0398650,Immune thrombocytopenic purpura,2
C0398691,Hyperimmunoglobulinemia D,2
C0398738,Leukocyte adhesion deficiency type 1,2
C0398794,Hypopigmentation-immunodeficiency disease,2
C0403440,Thin basement membrane disease,2
C0403555,Ochoa syndrome,2
C0403814,Congenital bilateral aplasia of vas deferens,2
C0406585,Lethal tight skin contracture syndrome (disorder),2
C0406587,Wrinkly skin syndrome,2
C0406612,Encephalocraniocutaneous lipomatosis,2
C0406740,Kohlschutter Tonz syndrome,2
C0406803,Syringocystadenoma Papilliferum,2
C0409974,Lupus Erythematosus,2
C0410005,Nodular fasciitis,2
C0410180,Eichsfeld type congenital muscular dystrophy,2
C0423682,"Low Back Pain, Mechanical",2
C0426970,Spastic Quadriplegia,2
C0431128,Papillary craniopharyngioma,2
C0431129,Adamantinous Craniopharyngioma,2
C0431349,Aprosencephaly,2
C0431368,Partial agenesis of corpus callosum,2
C0431401,Gillespie syndrome,2
C0431415,Lumbosacral agenesis,2
C0431692,Bilateral renal hypoplasia,2
C0431693,Renal cysts and diabetes syndrome,2
C0431890,Hypoplasia of thumb,2
C0432072,Dysmorphic features,2
C0432090,Cleft of hard palate,2
C0432098,Cleft Soft Palate,2
C0432103,Submucous cleft of hard palate,2
C0432194,Schneckenbecken dysplasia,2
C0432198,"Short rib-polydactyly syndrome, Beemer type",2
C0432221,"Spondylometaphyseal dysplasia, 'corner fracture' type",2
C0432226,Metaphyseal anadysplasia,2
C0432242,Desbuquois syndrome,2
C0432243,Spondyloepimetaphyseal Dysplasia With Joint Laxity,2
C0432253,Bruck syndrome,2
C0432254,Singleton Merten syndrome,2
C0432255,Geroderma osteodysplastica,2
C0432262,Dysosteosclerosis,2
C0432284,Infantile myofibromatosis,2
C0432291,Mandibuloacral dysostosis,2
C0432316,Epidermolysis bullosa simplex with mottled pigmentation,2
C0432330,Erythrokeratoderma,2
C0432336,"Cutis laxa, recessive, type I",2
C0454576,"Aphasia, Mixed",2
C0454608,"Apraxia, Oral",2
C0457013,Weyers acrofacial dysostosis,2
C0472813,X-linked agammaglobulinemia with growth hormone deficiency,2
C0473219,Renal hypouricemia,2
C0473586,Michelin tire baby syndrome,2
C0475813,Alpha-thalassemia/mental retardation syndrome (301040) is an allelic disorder,2
C0520947,Clumsiness - motor delay,2
C0543478,Residual Tumor,2
C0546127,"Mercury Poisoning, Nervous System",2
C0549225,Myasthenic Syndrome,2
C0549306,Mesomelia,2
C0553730,Calcium pyrophosphate deposition disease,2
C0555206,Chiari malformation type II,2
C0574084,3-Methylglutaconic aciduria type 3,2
C0581391,Chronic depression,2
C0586323,Alcohol Withdrawal Seizures,2
C0596298,Cerebrovascular Occlusion,2
C0600139,Prostate carcinoma,2
C0600433,Activated Protein C Resistance,2
C0684337,Ewings sarcoma-primitive neuroectodermal tumor (PNET),2
C0685889,Splenic Hypoplasia,2
C0699728,Chronic progressive chorea,2
C0699731,Hereditary Chorea,2
C0700501,Congenital nystagmus,2
C0733682,"Hypophosphatemic Rickets, X-Linked Dominant",2
C0740279,Cerebellar atrophy,2
C0750927,"Apraxia, Developmental Verbal",2
C0750929,"Arnold-Chiari Malformation, Type I",2
C0750952,Biliary Tract Cancer,2
C0750968,Central Nervous System Metabolic Disorders,2
C0751008,"Intracranial Arteriovenous Malformation, Ruptured",2
C0751037,"Cockayne Syndrome, Type III",2
C0751061,"Craniopharyngioma, Child",2
C0751075,Cancer of Digestive System,2
C0751172,Adult Glycogen Storage Disease Type II,2
C0751173,"Glycogen Storage Disease Type II, Infantile",2
C0751174,"Glycogen Storage Disease Type II, Juvenile",2
C0751202,Cystathionine beta-Synthase Deficiency Disease,2
C0751273,Infantile Globoid Cell Leukodystrophy,2
C0751276,"Metachromatic leukodystrophy, juvenile type",2
C0751278,"Metachromatic Leukodystrophy, Infant",2
C0751279,"Metachromatic Leukodystrophy, Adult-Type (disorder)",2
C0751360,Becker Generalized Myotonia,2
C0751366,Radiation-Induced Cancer,2
C0751381,Foley-Denny-Brown Syndrome,2
C0751434,Classical phenylketonuria,2
C0751435,Hyperphenylalaninaemia,2
C0751436,"Hyperphenylalaninemia, Non-Phenylketonuric",2
C0751483,Familial Retinoblastoma,2
C0751500,Petrous Sinus Thrombophlebitis,2
C0751501,Intracranial Sinus Thrombophlebitis,2
C0751502,Petrous Sinus Thrombosis,2
C0751553,Childhood Tic Disorders,2
C0751554,Motor Tic Disorders,2
C0751559,Pulsatile Tinnitus,2
C0751587,CADASIL Syndrome,2
C0751595,Juvenile Pyruvate Dehydrogenase Complex Deficiency Disease,2
C0751596,"Pyruvate Dehydrogenase Complex Deficiency Disease, Neonatal",2
C0751597,"Ataxia with Lactic Acidosis, Type I",2
C0751620,"Central Nervous System Neoplasms, Primary",2
C0751622,"Eosinophilia-Myalgia Syndrome, L-Tryptophan-Related",2
C0751692,Multiple Hemangioblastomas,2
C0751708,"Peroxisomal Dysfunction, General",2
C0751709,"Peroxisomal Dysfunction, Multiple",2
C0751710,"Peroxisomal Dysfunction, Single",2
C0751716,Adult Neuroaxonal Dystrophy,2
C0751717,Juvenile Neuroaxonal Dystrophy,2
C0751718,Late Infantile Neuroaxonal Dystrophy,2
C0751743,"Metabolic Disorder, Central Nervous System, Acquired",2
C0751783,Lafora Disease,2
C0751784,"Lafora Body Disease, Late Onset",2
C0751855,Mercury Encephalopathy,2
C0751856,Mad Hatter Disease,2
C0751857,Mercurial Neuroanesthenia,2
C0751858,Mercury Psychosis,2
C0751872,"Immune Disorders, Nervous System",2
C0751914,Adult Pelizaeus-Merzbacher Disease,2
C0751915,"Pelizaeus-Merzbacher Disease, Atypical",2
C0751916,Classic Pelizaeus-Merzbacher Disease,2
C0751917,"Pelizaeus-Merzbacher Disease, Transitional",2
C0751918,Cockayne-Pelizaeus-Merzbacher Disease,2
C0752160,"Hemangioma, Cavernous, Central Nervous System",2
C0752161,"Cavernous Hemangioma, Extracerebral",2
C0752164,"Cavernous Hemangioma, Intracerebral",2
C0752210,"Dyskinesias, Paroxysmal",2
C0795690,Congenital omphalocele,2
C0795905,Cantu syndrome,2
C0795917,"Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type",2
C0795998,JACKSON-WEISS SYNDROME,2
C0796012,Krause-Kivlin syndrome,2
C0796016,"Microphthalmia, syndromic 1",2
C0796033,MARDEN-WALKER SYNDROME,2
C0796037,Martsolf syndrome,2
C0796059,Oculopalatoskeletal syndrome,2
C0796068,Oculodigitoesophagoduodenal syndrome,2
C0796074,MOHR-TRANEBJAERG SYNDROME,2
C0796113,"Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor",2
C0796137,3C syndrome,2
C0796232,Bohring syndrome,2
C0796274,Brown-Vialetto-Van Laere Syndrome 1,2
C0796279,Carnevale syndrome,2
C0853240,Mobius II syndrome,2
C0854119,Ruptured Appendicitis,2
C0856761,Budd-Chiari Syndrome,2
C0877855,Cerebral Embolism and Thrombosis,2
C0878555,Diffuse panbronchiolitis,2
C0878682,Ceruloplasmin deficiency,2
C0917813,"Spina Bifida, Open",2
C0917990,Acro-Osteolysis,2
C0920296,Developmental reading disorder,2
C0936243,HIV-1-Associated Cognitive Motor Complex,2
C0936247,Brain Embolism and Thrombosis,2
C0936248,Chondroma,2
C0936273,"Familial Amyloid Polyneuropathy, Type IV",2
C0949116,Congenital hypoplastic anemia,2
C0949506,Porokeratosis of Mibelli,2
C0949541,Hurthle Cell Tumor,2
C0949690,Spondylarthritis,2
C0973461,Dysphasia,2
C1096902,Infantile Sialic Acid Storage Disease,2
C1096903,"Sialic Acid Storage Disease, Finnish Type (disorder)",2
C1112486,Aggressive Systemic Mastocytosis,2
C1136321,HIV-Associated Lipodystrophy Syndrome,2
C1140710,Cerebral Cavernous Hemangioma,2
C1142379,Neurotmesis,2
C1260386,Glucocorticoid-remediable aldosteronism,2
C1260396,Alpha thalassemia intermedia,2
C1263858,"Muscular dystrophy congenital, merosin negative",2
C1264195,Refractory anemia with ringed sideroblasts,2
C1266119,Solitary fibrous tumor,2
C1274879,Port-wine stain with oculocutaneous melanosis,2
C1275078,Acrocephalopolysyndactyly type 2,2
C1275685,Avellino corneal dystrophy,2
C1291245,Cortisone reductase deficiency,2
C1291560,Deficiency of glutamate decarboxylase,2
C1292754,Mediastinal (Thymic) Large B-Cell Lymphoma,2
C1300268,Brachydactyly syndrome type C,2
C1301362,Primary Cutaneous Anaplastic Large Cell Lymphoma,2
C1302790,Congenital malformation syndrome,2
C1303073,Nicolaides Baraitser syndrome,2
C1306122,Oguchi disease,2
C1306503,Congenital exomphalos,2
C1306856,Megaloblastic anemia due to inborn errors of metabolism,2
C1318558,Congenital melanocytic nevus,2
C1321551,Shprintzen-Goldberg syndrome,2
C1332218,Adult Type Ovarian Granulosa Cell Tumor,2
C1332965,Congenital Mesoblastic Nephroma,2
C1333993,hereditary paraganglioma,2
C1368683,Epithelioma,2
C1370419,Ovarian Granulosa Cell Tumor,2
C1412000,Mesenteric vascular insufficiency,2
C1449626,CADASILM,2
C1450052,Tibial Muscular Dystrophy,2
C1510455,Acrocephalosyndactylia,2
C1510460,Orofaciodigital Syndrome I,2
C1510502,Oxyphilic Adenoma,2
C1512419,Hereditary Melanoma,2
C1519176,Salivary Gland Pleomorphic Adenoma,2
C1533041,Primary congenital glaucoma,2
C1542327,Fetus or newborn affected by alcohol transmitted via placenta or breast milk,2
C1562689,Congenital hereditary endothelial dystrophy,2
C1563697,Chromosome Instability Syndromes,2
C1563709,Myopathic Ophthalmopathy,2
C1563715,Andersen Syndrome,2
C1704356,Enchondroma,2
C1704429,"Hypoalphalipoproteinemia, Familial",2
C1707291,NUT midline carcinoma,2
C1708371,Histiocytoid Cardiomyopathy,2
C1709353,Osteofibrous Dysplasia,2
C1710096,Sinonasal undifferentiated carcinoma,2
C1720779,Apolipoprotein C-II Deficiency (disorder),2
C1720802,"Refsum Disease, Phytanoyl-CoA Hydroxylase Deficiency",2
C1720863,Congenital Generalized Lipodystrophy Type 2,2
C1720965,"Ectodermal Dysplasia 3, Anhidrotic",2
C1721005,"Leukokeratosis, Hereditary Mucosal",2
C1744559,Congenital ectodermal dysplasia of face,2
C1801950,"Opitz-G syndrome, type 2",2
C1832322,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, NK Cell-Positive",2
C1832390,Van Maldergem Wetzburger Verloes syndrome,2
C1832394,"Deafness, Autosomal Recessive 12",2
C1832466,CAPOS syndrome,2
C1832587,"POLYPOSIS SYNDROME, HEREDITARY MIXED, 1",2
C1832615,"HYPERPARATHYROIDISM, NEONATAL SEVERE",2
C1832661,ANOPHTHALMIA AND PULMONARY HYPOPLASIA,2
C1832708,MULTIPLE SYNOSTOSES SYNDROME 2,2
C1832845,"USHER SYNDROME, TYPE ID",2
C1833030,"PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC",2
C1833691,Otofaciocervical Syndrome,2
C1834671,FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1B,2
C1834673,Facioscapulohumeral muscular dystrophy 1a,2
C1835171,"Hypomagnesemia 2, renal",2
C1835662,Keratosis palmoplantaris papulosa,2
C1835671,Keratoderma palmoplantar spastic paralysis,2
C1835672,Palmoplantar Keratoderma with Deafness,2
C1835828,"Invasive Pneumococcal Disease, Recurrent Isolated, 1",2
C1835895,RETINITIS PIGMENTOSA 33 (disorder),2
C1836010,"Spastic Paraplegia, Optic Atrophy, and Neuropathy",2
C1836573,"GRISCELLI SYNDROME, TYPE 3",2
C1836602,Bruck syndrome 2,2
C1836681,"Erythrokeratoderma, Reticular",2
C1837028,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell Negative, B Cell Positive, NK Cell Positive",2
C1837210,OROFACIAL CLEFT 5,2
C1837249,"Malformations of Cortical Development, Group II",2
C1837454,SPINOCEREBELLAR ATAXIA 8,2
C1837822,Burn-Mckeown syndrome,2
C1838103,MITOCHONDRIAL MYOPATHY AND SIDEROBLASTIC ANEMIA,2
C1838162,Mesomelia-synostoses syndrome,2
C1838244,"TIBIAL MUSCULAR DYSTROPHY, TARDIVE",2
C1838327,"Polycystic kidneys, severe infantile with tuberous sclerosis",2
C1838440,ICHTHYOSIS EXFOLIATIVA,2
C1838568,Sacral defect and anterior sacral meningocele,2
C1838854,"DEAFNESS, AMINOGLYCOSIDE-INDUCED",2
C1838867,"PARKINSON DISEASE, MITOCHONDRIAL (disorder)",2
C1838990,"ALZHEIMER DISEASE, SUSCEPTIBILITY TO, MITOCHONDRIAL",2
C1839040,LEBER OPTIC ATROPHY AND DYSTONIA,2
C1839413,Pyruvate Dehydrogenase E1 Alpha Deficiency,2
C1839736,WILSON-TURNER X-LINKED MENTAL RETARDATION SYNDROME,2
C1839840,"MALE PSEUDOHERMAPHRODITISM: DEFICIENCY OF TESTICULAR 17,20-DESMOLASE",2
C1839884,"Leiomyomatosis, esophageal and vulval, with nephropathy",2
C1840299,Hypotrichosis Simplex of Scalp,2
C1840451,"MULTICYSTIC RENAL DYSPLASIA, BILATERAL",2
C1842028,"GLAUCOMA 1, OPEN ANGLE, A",2
C1842180,CAPILLARY MALFORMATION-ARTERIOVENOUS MALFORMATION (disorder),2
C1842402,TROPICAL CALCIFIC PANCREATITIS,2
C1842475,Retinitis Pigmentosa 7,2
C1842534,DYSTONIA 18 (disorder),2
C1842852,"EPILEPSY, MYOCLONIC, BENIGN ADULT FAMILIAL, TYPE 2",2
C1842937,"AURAL ATRESIA, CONGENITAL",2
C1842983,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2K",2
C1843140,"SEIZURES, BENIGN FAMILIAL INFANTILE, 3",2
C1843183,"Charcot-Marie-Tooth disease, Type 4A, axonal form",2
